object_id,frame,x,y,w,h,area,solidity,eccentricity,focus_score,quality_score,cluster
0,RCNHSha_20250509_233918_IMG2,1085,703,37,54,1536,0.861,0.6982,13.1531,0.3329,7
1,RCNHSha_20250509_233918_IMG2,1943,797,55,62,1794,0.8038,0.5842,22.1791,0.3351,45
2,RCNHSha_20250509_233918_IMG2,2949,922,126,104,5217,0.6432,0.6279,10.5524,0.4035,49
3,RCNHSha_20250509_233918_IMG2,2956,1636,197,138,6735,0.4826,0.9035,11.4023,0.3562,40
4,RCNHSha_20250509_233918_IMG2,3100,1894,40,48,1281,0.9661,0.7333,14.6469,0.3557,7
5,RCNHSha_20250509_233918_IMG2,2381,2341,52,57,1468,0.7914,0.7535,41.91,0.338,14
6,RCNHSha_20250509_233918_IMG2,1749,2467,128,84,5124,0.7971,0.9384,15.8909,0.455,4
7,RCNHSha_20250509_233918_IMG2,2092,2863,40,66,1604,0.915,0.8817,8.6933,0.3474,7
8,RCNHSha_20250509_233933_IMG3,2197,181,53,39,1438,0.9485,0.7412,11.3878,0.3535,2
9,RCNHSha_20250509_233933_IMG3,2313,210,43,52,1339,0.9403,0.7905,11.5005,0.3472,7
10,RCNHSha_20250509_233933_IMG3,2699,404,82,39,1752,0.7825,0.9195,16.3215,0.3211,2
11,RCNHSha_20250509_233933_IMG3,1849,430,43,57,1674,0.9549,0.743,9.5119,0.363,7
12,RCNHSha_20250509_233933_IMG3,2206,445,45,47,1366,0.8064,0.7168,33.1202,0.3297,49
13,RCNHSha_20250509_233933_IMG3,2317,507,161,144,6044,0.5763,0.9711,9.9254,0.3828,40
14,RCNHSha_20250509_233933_IMG3,2873,508,54,57,2047,0.848,0.5965,12.5621,0.3488,7
15,RCNHSha_20250509_233933_IMG3,2675,749,165,158,7532,0.6147,0.901,32.4777,0.4169,0
16,RCNHSha_20250509_233933_IMG3,1282,828,64,60,2886,0.974,0.4304,10.1073,0.4178,6
17,RCNHSha_20250509_233933_IMG3,1910,843,233,190,6101,0.2521,0.5082,20.7414,0.2964,49
