detection_id,cluster,mosaic_file,mosaic_row,mosaic_col,mosaic_x,mosaic_y,thumb_size,frame,bbox_x,bbox_y,bbox_w,bbox_h,quality_score,solidity,eccentricity
1000,0,cluster_00_mosaic.png,0,0,0,40,90,RCNHSha_20250512_021047_IMG8,753,1611,66,121,0.4760785562098854,0.8539846674986629,0.8784534458884765
988,0,cluster_00_mosaic.png,0,1,90,40,90,RCNHSha_20250512_021047_IMG8,1329,1007,85,160,0.45663143120402044,0.7952137159185617,0.8937246831115053
1037,0,cluster_00_mosaic.png,0,2,180,40,90,RCNHSha_20250512_023948_IMG4,1076,1847,91,161,0.45271789835320647,0.7589814449269641,0.7994700861643076
1545,0,cluster_00_mosaic.png,0,3,270,40,90,RCNHSha_20250513_030916_IMG2,2296,797,93,158,0.44220895904502455,0.7203351243056187,0.838178241107675
999,0,cluster_00_mosaic.png,0,4,360,40,90,RCNHSha_20250512_021047_IMG8,1822,1586,177,105,0.4342582216269299,0.690179806362379,0.8851003248987752
984,0,cluster_00_mosaic.png,0,5,450,40,90,RCNHSha_20250512_021047_IMG8,1587,929,83,165,0.4205759504966595,0.6630333229523513,0.8081160126323705
15,0,cluster_00_mosaic.png,0,6,540,40,90,RCNHSha_20250509_233933_IMG3,2675,749,165,158,0.4168745841741001,0.6146564387138893,0.9010291029500889
6891,0,cluster_00_mosaic.png,0,7,630,40,90,RCNHSha_20250921_225051_IMG6,2042,1533,110,124,0.4160775952127781,0.6000219346347884,0.563959491503756
2005,0,cluster_00_mosaic.png,0,8,720,40,90,RCNHSha_20250513_043901_IMG1,1424,1711,150,198,0.408671041096347,0.5763239875389408,0.8653353722281064
2840,0,cluster_00_mosaic.png,0,9,810,40,90,RCNHSha_20250515_000932_IMG3,2645,2101,109,127,0.4058957831084945,0.5844385499557914,0.8641077793729552
873,0,cluster_00_mosaic.png,0,10,900,40,90,RCNHSha_20250512_011034_IMG7,1168,1850,189,162,0.4020915188374752,0.6037546766435061,0.9097604971817259
349,0,cluster_00_mosaic.png,0,11,990,40,90,RCNHSha_20250511_020931_IMG3,1422,1142,133,173,0.39873178340420173,0.5899954465621544,0.8206258340645587
2978,0,cluster_00_mosaic.png,0,12,1080,40,90,RCNHSha_20250515_001032_IMG7,2058,2013,139,138,0.3970293251629619,0.6091965953913224,0.8671969636817751
1434,0,cluster_00_mosaic.png,0,13,1170,40,90,RCNHSha_20250513_014047_IMG8,2247,1545,152,168,0.39400344297600165,0.5322414149060629,0.9031322727931468
7236,0,cluster_00_mosaic.png,0,14,1260,40,90,RCNHSha_20250921_232012_IMG2,1393,1856,112,143,0.3853189194390546,0.5538962497192904,0.8053186607480393
1884,0,cluster_00_mosaic.png,1,0,0,130,90,RCNHSha_20250513_034017_IMG6,1259,1288,211,225,0.3838498756577877,0.5440668405837975,0.3761578551690053
3083,0,cluster_00_mosaic.png,1,1,90,130,90,RCNHSha_20250515_001047_IMG8,2194,2016,114,199,0.3822780455301097,0.5148289531639995,0.8952544281588498
7545,0,cluster_00_mosaic.png,1,2,180,130,90,RCNHSha_20250922_005035_IMG4,1166,2214,135,150,0.3817322185513361,0.5279151943462898,0.8961649308593816
324,0,cluster_00_mosaic.png,1,3,270,130,90,RCNHSha_20250511_020901_IMG1,2001,483,44,69,0.3809157056859385,0.884549356223176,0.8153800845422682
1618,0,cluster_00_mosaic.png,1,4,360,130,90,RCNHSha_20250513_030916_IMG2,1563,2346,214,186,0.38083592058752014,0.548396750748183,0.8993342060622661
2050,0,cluster_00_mosaic.png,1,5,450,130,90,RCNHSha_20250513_043932_IMG3,2863,1747,149,196,0.38051638030610346,0.5652101769911504,0.8332006227351069
1026,0,cluster_00_mosaic.png,1,6,540,130,90,RCNHSha_20250512_023933_IMG3,2347,1996,192,171,0.37791242525704505,0.48874429343548303,0.7271855580711662
2815,0,cluster_00_mosaic.png,1,7,630,130,90,RCNHSha_20250515_000932_IMG3,2295,1526,160,182,0.37525127917941214,0.5187239151563662,0.8518988197323556
5270,0,cluster_00_mosaic.png,1,8,720,130,90,RCNHSha_20250516_010915_IMG2,1990,1640,82,170,0.3750462978133734,0.5514580733008057,0.8743227123182351
672,0,cluster_00_mosaic.png,1,9,810,130,90,RCNHSha_20250511_234046_IMG8,2710,1048,155,140,0.37489719509177977,0.5212361732669087,0.876716910567037
1416,0,cluster_00_mosaic.png,1,10,900,130,90,RCNHSha_20250513_014047_IMG8,1466,520,187,187,0.3741977995898672,0.4738247863247863,0.88312826421071
7084,0,cluster_00_mosaic.png,1,11,990,130,90,RCNHSha_20250921_225111_IMG8,819,2085,168,193,0.37397707407200154,0.5313078918117822,0.7572369582778853
303,0,cluster_00_mosaic.png,1,12,1080,130,90,RCNHSha_20250511_010937_IMG3,2103,1066,106,206,0.3718239462332329,0.4930758017492711,0.908088874424942
924,0,cluster_00_mosaic.png,1,13,1170,130,90,RCNHSha_20250512_011034_IMG7,1769,2746,53,76,0.3716758058431166,0.8619781872884543,0.8318814921983176
951,0,cluster_00_mosaic.png,1,14,1260,130,90,RCNHSha_20250512_020902_IMG1,1689,1894,166,153,0.37121808342209095,0.4779326008225401,0.7809276799296666
3033,0,cluster_00_mosaic.png,2,0,0,220,90,RCNHSha_20250515_001047_IMG8,2275,785,144,167,0.37072275653854625,0.48803116510328565,0.6398124289293058
976,0,cluster_00_mosaic.png,2,1,90,220,90,RCNHSha_20250512_021047_IMG8,1332,659,121,139,0.37058218942629195,0.5229061553985873,0.7348314759736384
4552,0,cluster_00_mosaic.png,2,2,180,220,90,RCNHSha_20250516_000901_IMG1,1538,1908,96,128,0.3698651915466592,0.5068554230297626,0.8326467999267932
2387,0,cluster_00_mosaic.png,2,3,270,220,90,RCNHSha_20250514_024101_IMG9,2862,1789,198,181,0.36950703730127554,0.5178242496478491,0.8652831966823127
1011,0,cluster_00_mosaic.png,2,4,360,220,90,RCNHSha_20250512_021047_IMG8,1916,2080,168,148,0.3677982024342741,0.5249387343231945,0.7754248505153934
459,0,cluster_00_mosaic.png,2,5,450,220,90,RCNHSha_20250511_021031_IMG7,2117,2588,192,171,0.36743495900412326,0.5029355456285897,0.9012087539659586
1381,0,cluster_00_mosaic.png,2,6,540,220,90,RCNHSha_20250513_013947_IMG4,2809,917,225,202,0.3667910041269268,0.4740649856151633,0.875837670264641
805,0,cluster_00_mosaic.png,2,7,630,220,90,RCNHSha_20250512_011034_IMG7,973,1000,103,163,0.3666870021579285,0.4645910780669145,0.8757510123689656
5305,0,cluster_00_mosaic.png,2,8,720,220,90,RCNHSha_20250516_011015_IMG6,1601,590,219,225,0.36448527355783156,0.4808259587020649,0.8359744661481636
5691,0,cluster_00_mosaic.png,2,9,810,220,90,RCNHSha_20250516_033932_IMG3,2692,759,116,172,0.3633406805092375,0.4941436464088398,0.9051008163238545
1417,0,cluster_00_mosaic.png,2,10,900,220,90,RCNHSha_20250513_014047_IMG8,2891,542,155,165,0.36210370551537696,0.48472090180632893,0.7823752308321258
580,0,cluster_00_mosaic.png,2,11,990,220,90,RCNHSha_20250511_233901_IMG1,2333,259,157,181,0.36111025107844685,0.49540490143846566,0.7932052800352526
1391,0,cluster_00_mosaic.png,2,12,1080,220,90,RCNHSha_20250513_013947_IMG4,933,1559,215,243,0.3609046598408221,0.4920623671155209,0.5988230632005093
981,0,cluster_00_mosaic.png,2,13,1170,220,90,RCNHSha_20250512_021047_IMG8,2766,860,174,233,0.36073339531923243,0.47164620375313104,0.8677240405739791
3037,0,cluster_00_mosaic.png,2,14,1260,220,90,RCNHSha_20250515_001047_IMG8,2579,842,185,211,0.360388586750762,0.447913202527436,0.8947360073969142
3876,0,cluster_00_mosaic.png,3,0,0,310,90,RCNHSha_20250515_023932_IMG3,2087,1831,150,182,0.3603043745463793,0.4910902471737881,0.7262427137426932
1661,0,cluster_00_mosaic.png,3,1,90,310,90,RCNHSha_20250513_030931_IMG3,2691,802,166,148,0.3602286828290043,0.49115771481164944,0.7603284759288486
1820,0,cluster_00_mosaic.png,3,2,180,310,90,RCNHSha_20250513_031031_IMG7,2335,472,166,196,0.35808770980063387,0.4879119743775183,0.768196003580502
3026,0,cluster_00_mosaic.png,3,3,270,310,90,RCNHSha_20250515_001047_IMG8,1575,614,154,131,0.3573332213606205,0.46329024883496,0.677372485247204
1506,0,cluster_00_mosaic.png,3,4,360,310,90,RCNHSha_20250513_024032_IMG7,2000,2449,142,178,0.35729942685319394,0.4796573875802998,0.7728061345779493
1001,0,cluster_00_mosaic.png,3,5,450,310,90,RCNHSha_20250512_021047_IMG8,2962,1617,153,208,0.3568823972670308,0.4811599556704839,0.8367742026444419
4424,0,cluster_00_mosaic.png,3,6,540,310,90,RCNHSha_20250516_000901_IMG1,2195,303,134,163,0.3566144904316464,0.4708572314369865,0.8309245538413331
2170,0,cluster_00_mosaic.png,3,7,630,310,90,RCNHSha_20250513_234016_IMG6,2046,2760,69,103,0.3556457397530336,0.6994910378402301,0.7119920587880061
649,0,cluster_00_mosaic.png,3,8,720,310,90,RCNHSha_20250511_234031_IMG7,2917,1509,152,145,0.3551809694535436,0.46038391658108857,0.5343968006434909
396,0,cluster_00_mosaic.png,3,9,810,310,90,RCNHSha_20250511_021016_IMG6,1500,1121,140,188,0.3546418302379273,0.44092263433679235,0.7394591301844623
940,0,cluster_00_mosaic.png,3,10,900,310,90,RCNHSha_20250512_020902_IMG1,1505,1138,155,201,0.35437723485614103,0.42138402857661805,0.7638431200720374
520,0,cluster_00_mosaic.png,3,11,990,310,90,RCNHSha_20250511_044016_IMG6,2459,628,146,197,0.35431196888874167,0.47233213611736774,0.6482304687663337
325,0,cluster_00_mosaic.png,3,12,1080,310,90,RCNHSha_20250511_020901_IMG1,2842,692,177,183,0.35269361718752007,0.43477199492237084,0.8256089215462515
950,0,cluster_00_mosaic.png,3,13,1170,310,90,RCNHSha_20250512_020902_IMG1,2288,1843,193,201,0.35239821029803736,0.45659969922492577,0.7012108182538398
1824,0,cluster_00_mosaic.png,3,14,1260,310,90,RCNHSha_20250513_031031_IMG7,2450,744,199,272,0.3523270158314154,0.4390918230563003,0.7986812223481825
957,0,cluster_00_mosaic.png,4,0,0,400,90,RCNHSha_20250512_020902_IMG1,2830,2274,159,176,0.35163773264167864,0.43723764387271497,0.7111492100793487
327,0,cluster_00_mosaic.png,4,1,90,400,90,RCNHSha_20250511_020901_IMG1,2404,908,219,190,0.3516245642882626,0.4516600094489542,0.8384006035865197
989,0,cluster_00_mosaic.png,4,2,180,400,90,RCNHSha_20250512_021047_IMG8,2533,1030,148,184,0.3513461722462777,0.4583630354481239,0.7016636637548277
5704,0,cluster_00_mosaic.png,4,3,270,400,90,RCNHSha_20250516_033932_IMG3,996,1359,170,187,0.35131225715910785,0.42715890475076057,0.8504889613816575
1874,0,cluster_00_mosaic.png,4,4,360,400,90,RCNHSha_20250513_034017_IMG6,2817,543,187,271,0.35042841906320193,0.46201267392202783,0.8965293996371193
535,0,cluster_00_mosaic.png,4,5,450,400,90,RCNHSha_20250511_044016_IMG6,1987,1840,68,108,0.3494912946026909,0.6609852906841,0.8764436810080343
2845,0,cluster_00_mosaic.png,4,6,540,400,90,RCNHSha_20250515_000932_IMG3,2201,2199,286,230,0.3492091463496694,0.4319277908057166,0.579663822162636
351,0,cluster_00_mosaic.png,4,7,630,400,90,RCNHSha_20250511_020931_IMG3,2720,1311,163,205,0.34915110594047605,0.4341813909349722,0.8267796262452831
388,0,cluster_00_mosaic.png,4,8,720,400,90,RCNHSha_20250511_021016_IMG6,2631,700,170,176,0.34880873608746515,0.4263116415221797,0.6387423145844446
582,0,cluster_00_mosaic.png,4,9,810,400,90,RCNHSha_20250511_233901_IMG1,1712,370,128,162,0.34819398904850063,0.4540373204918738,0.7781306264533585
1796,0,cluster_00_mosaic.png,4,10,900,400,90,RCNHSha_20250513_031016_IMG6,1732,2155,177,261,0.34680651206820345,0.43609971599873776,0.8062357308088757
1442,0,cluster_00_mosaic.png,4,11,990,400,90,RCNHSha_20250513_014047_IMG8,934,1809,189,219,0.3460427699212249,0.4348327566320646,0.74960438584911
983,0,cluster_00_mosaic.png,4,12,1080,400,90,RCNHSha_20250512_021047_IMG8,2383,905,180,204,0.34585801969990115,0.4385630498533724,0.7727717742195571
936,0,cluster_00_mosaic.png,4,13,1170,400,90,RCNHSha_20250512_020902_IMG1,2942,1033,259,205,0.3457004470072692,0.4113070193014092,0.8404667013650549
1490,0,cluster_00_mosaic.png,4,14,1260,400,90,RCNHSha_20250513_024032_IMG7,1538,693,188,203,0.34514414515286573,0.3881206788183532,0.7763652585262762
5063,0,cluster_00_mosaic.png,5,0,0,490,90,RCNHSha_20250516_003930_IMG3,2913,1353,94,149,0.34500984181338434,0.482182381584772,0.8757665335339112
1487,0,cluster_00_mosaic.png,5,1,90,490,90,RCNHSha_20250513_024032_IMG7,2042,401,149,213,0.344932997927676,0.44325394514645083,0.7466456181261836
1492,0,cluster_00_mosaic.png,5,2,180,490,90,RCNHSha_20250513_024032_IMG7,2000,747,162,211,0.34492241904129856,0.3978932139789321,0.872534736642406
3637,0,cluster_00_mosaic.png,5,3,270,490,90,RCNHSha_20250515_014047_IMG8,2302,556,147,166,0.3444884897257743,0.4187138425421313,0.7309130126740496
3592,0,cluster_00_mosaic.png,5,4,360,490,90,RCNHSha_20250515_013932_IMG3,1283,700,179,193,0.34409027899087385,0.4322038874860532,0.7338765163219053
2461,0,cluster_00_mosaic.png,5,5,450,490,90,RCNHSha_20250514_030947_IMG4,2002,2458,193,205,0.34400987314137155,0.39369386958219443,0.6750579577456765
968,0,cluster_00_mosaic.png,5,6,540,490,90,RCNHSha_20250512_021047_IMG8,2429,396,273,307,0.34327772057384237,0.4280666699156879,0.9567578794375814
8477,0,cluster_00_mosaic.png,5,7,630,490,90,RCNHSha_20250922_055135_IMG9,1996,2527,166,172,0.343032004809307,0.4112283769437332,0.7258487377351643
597,0,cluster_00_mosaic.png,5,8,720,490,90,RCNHSha_20250511_233901_IMG1,2031,1136,169,227,0.3425676326430221,0.4036204495723095,0.8343864689525484
1043,0,cluster_00_mosaic.png,5,9,810,490,90,RCNHSha_20250512_030902_IMG1,1116,746,162,245,0.3416656238708373,0.4314436819791075,0.8397619415358565
1256,0,cluster_00_mosaic.png,5,10,900,490,90,RCNHSha_20250513_003900_IMG1,1141,2199,168,198,0.3416607755973702,0.4216778025241277,0.7443940924878198
1854,0,cluster_00_mosaic.png,5,11,990,490,90,RCNHSha_20250513_031031_IMG7,2666,1848,190,206,0.3409659782124607,0.4214093214965124,0.8469535966469193
1626,0,cluster_00_mosaic.png,5,12,1080,490,90,RCNHSha_20250513_030916_IMG2,1729,2507,128,179,0.34062920911793115,0.41203312489437216,0.8491984171280043
3867,0,cluster_00_mosaic.png,5,13,1170,490,90,RCNHSha_20250515_023932_IMG3,2534,1348,153,197,0.34028528325248775,0.3919922112693197,0.8185610767007835
1388,0,cluster_00_mosaic.png,5,14,1260,490,90,RCNHSha_20250513_013947_IMG4,2180,1377,203,242,0.33989591563169524,0.38377051298617393,0.7690334059789058
1992,0,cluster_00_mosaic.png,6,0,0,580,90,RCNHSha_20250513_043901_IMG1,766,987,135,179,0.33965292488263277,0.4006065107067706,0.8646871234683772
2777,0,cluster_00_mosaic.png,6,1,90,580,90,RCNHSha_20250515_000932_IMG3,1663,961,152,197,0.3387218649241045,0.3887388535031847,0.8153322803962505
1398,0,cluster_00_mosaic.png,6,2,180,580,90,RCNHSha_20250513_013947_IMG4,2719,2007,204,196,0.3378682021267513,0.4073703880752684,0.6127954295454902
32,0,cluster_00_mosaic.png,6,3,270,580,90,RCNHSha_20250509_233933_IMG3,2370,1567,57,82,0.3369265976693401,0.7381416504223521,0.7113266257973516
1718,0,cluster_00_mosaic.png,6,4,360,580,90,RCNHSha_20250513_030931_IMG3,1948,2015,203,249,0.33656694006853477,0.3563251390633411,0.7510624533873704
7556,0,cluster_00_mosaic.png,6,5,450,580,90,RCNHSha_20250922_005035_IMG4,1428,2485,98,86,0.33585022252619035,0.5746753246753247,0.722863545169897
2419,0,cluster_00_mosaic.png,6,6,540,580,90,RCNHSha_20250514_030916_IMG2,1110,1146,206,176,0.335833784845359,0.41263243270644295,0.7990118641625449
931,0,cluster_00_mosaic.png,6,7,630,580,90,RCNHSha_20250512_020902_IMG1,1496,562,201,204,0.334729716945525,0.3860674157303371,0.45162497107598865
5267,0,cluster_00_mosaic.png,6,8,720,580,90,RCNHSha_20250516_010915_IMG2,2220,1592,178,236,0.33336912162998733,0.38939596770922075,0.8339816674536271
3073,0,cluster_00_mosaic.png,6,9,810,580,90,RCNHSha_20250515_001047_IMG8,2121,1754,114,155,0.33291220798299087,0.4582141397629751,0.7708683924157559
961,0,cluster_00_mosaic.png,6,10,900,580,90,RCNHSha_20250512_020902_IMG1,1291,2464,186,201,0.33249049117059315,0.3767448841747136,0.784810414894087
4631,0,cluster_00_mosaic.png,6,11,990,580,90,RCNHSha_20250516_000947_IMG4,2816,519,150,190,0.33219493811455736,0.3512772502340511,0.7289889795840911
339,0,cluster_00_mosaic.png,6,12,1080,580,90,RCNHSha_20250511_020901_IMG1,2518,2333,183,245,0.3308870444834605,0.3965240867290981,0.8039288863035168
1369,0,cluster_00_mosaic.png,6,13,1170,580,90,RCNHSha_20250513_010946_IMG4,2503,2326,236,212,0.33054383141143173,0.38020797701306697,0.8199396831575648
1444,0,cluster_00_mosaic.png,6,14,1260,580,90,RCNHSha_20250513_014047_IMG8,2433,1903,100,147,0.32957472739269655,0.5047501542257865,0.8107429373557543
2058,0,cluster_00_mosaic.png,7,0,0,670,90,RCNHSha_20250513_043932_IMG3,1698,2244,226,183,0.3290390001918766,0.3823133670486707,0.792159694176618
295,0,cluster_00_mosaic.png,7,1,90,670,90,RCNHSha_20250511_010937_IMG3,2245,331,196,262,0.3289703387805967,0.3413921061509052,0.7916958121847437
7289,0,cluster_00_mosaic.png,7,2,180,670,90,RCNHSha_20250921_232102_IMG7,1857,797,118,132,0.32707584340406576,0.45133689839572194,0.7613444150412196
1786,0,cluster_00_mosaic.png,7,3,270,670,90,RCNHSha_20250513_031016_IMG6,1639,1841,291,256,0.3260177601685783,0.3545922979569698,0.9123704735855858
1736,0,cluster_00_mosaic.png,7,4,360,670,90,RCNHSha_20250513_031016_IMG6,2306,301,227,238,0.3259133314881051,0.3452468410226271,0.9063639903882222
4138,0,cluster_00_mosaic.png,7,5,450,670,90,RCNHSha_20250515_041033_IMG7,656,1484,144,181,0.3258096729897469,0.37279843444227007,0.8216438455483571
1429,0,cluster_00_mosaic.png,7,6,540,670,90,RCNHSha_20250513_014047_IMG8,2626,1384,192,253,0.31921973238754797,0.328737561443472,0.8254131649600704
1712,0,cluster_00_mosaic.png,7,7,630,670,90,RCNHSha_20250513_030931_IMG3,1049,1902,191,220,0.31847056229147563,0.33872209391839875,0.18550291418687573
7109,0,cluster_00_mosaic.png,7,8,720,670,90,RCNHSha_20250921_225141_IMG11,1655,503,115,107,0.30616030512543146,0.4017777777777778,0.7191356652974535
