detection_id,frame,bbox_x,bbox_y,bbox_w,bbox_h,original_cluster,final_class,class_name,status
1000,RCNHSha_20250512_021047_IMG8,753,1611,66,121,0,0,Cladoceramorpha,confirmed
988,RCNHSha_20250512_021047_IMG8,1329,1007,85,160,0,0,Cladoceramorpha,confirmed
1037,RCNHSha_20250512_023948_IMG4,1076,1847,91,161,0,0,Cladoceramorpha,confirmed
1545,RCNHSha_20250513_030916_IMG2,2296,797,93,158,0,0,Cladoceramorpha,confirmed
999,RCNHSha_20250512_021047_IMG8,1822,1586,177,105,0,0,Cladoceramorpha,confirmed
984,RCNHSha_20250512_021047_IMG8,1587,929,83,165,0,0,Cladoceramorpha,confirmed
15,RCNHSha_20250509_233933_IMG3,2675,749,165,158,0,0,Cladoceramorpha,confirmed
6891,RCNHSha_20250921_225051_IMG6,2042,1533,110,124,0,0,Cladoceramorpha,confirmed
2005,RCNHSha_20250513_043901_IMG1,1424,1711,150,198,0,0,Cladoceramorpha,confirmed
2840,RCNHSha_20250515_000932_IMG3,2645,2101,109,127,0,0,Cladoceramorpha,confirmed
873,RCNHSha_20250512_011034_IMG7,1168,1850,189,162,0,0,Cladoceramorpha,confirmed
349,RCNHSha_20250511_020931_IMG3,1422,1142,133,173,0,0,Cladoceramorpha,confirmed
2978,RCNHSha_20250515_001032_IMG7,2058,2013,139,138,0,0,Cladoceramorpha,confirmed
1434,RCNHSha_20250513_014047_IMG8,2247,1545,152,168,0,0,Cladoceramorpha,confirmed
7236,RCNHSha_20250921_232012_IMG2,1393,1856,112,143,0,0,Cladoceramorpha,confirmed
1884,RCNHSha_20250513_034017_IMG6,1259,1288,211,225,0,0,Cladoceramorpha,confirmed
3083,RCNHSha_20250515_001047_IMG8,2194,2016,114,199,0,0,Cladoceramorpha,confirmed
7545,RCNHSha_20250922_005035_IMG4,1166,2214,135,150,0,0,Cladoceramorpha,confirmed
324,RCNHSha_20250511_020901_IMG1,2001,483,44,69,0,2,Detritus / Unsharp Organisms,relabelled
1618,RCNHSha_20250513_030916_IMG2,1563,2346,214,186,0,0,Cladoceramorpha,confirmed
2050,RCNHSha_20250513_043932_IMG3,2863,1747,149,196,0,0,Cladoceramorpha,confirmed
1026,RCNHSha_20250512_023933_IMG3,2347,1996,192,171,0,0,Cladoceramorpha,confirmed
2815,RCNHSha_20250515_000932_IMG3,2295,1526,160,182,0,0,Cladoceramorpha,confirmed
5270,RCNHSha_20250516_010915_IMG2,1990,1640,82,170,0,0,Cladoceramorpha,confirmed
672,RCNHSha_20250511_234046_IMG8,2710,1048,155,140,0,0,Cladoceramorpha,confirmed
1416,RCNHSha_20250513_014047_IMG8,1466,520,187,187,0,0,Cladoceramorpha,confirmed
7084,RCNHSha_20250921_225111_IMG8,819,2085,168,193,0,2,Detritus / Unsharp Organisms,relabelled
303,RCNHSha_20250511_010937_IMG3,2103,1066,106,206,0,0,Cladoceramorpha,confirmed
924,RCNHSha_20250512_011034_IMG7,1769,2746,53,76,0,0,Cladoceramorpha,confirmed
951,RCNHSha_20250512_020902_IMG1,1689,1894,166,153,0,0,Cladoceramorpha,confirmed
3033,RCNHSha_20250515_001047_IMG8,2275,785,144,167,0,0,Cladoceramorpha,confirmed
976,RCNHSha_20250512_021047_IMG8,1332,659,121,139,0,2,Detritus / Unsharp Organisms,relabelled
4552,RCNHSha_20250516_000901_IMG1,1538,1908,96,128,0,0,Cladoceramorpha,confirmed
2387,RCNHSha_20250514_024101_IMG9,2862,1789,198,181,0,0,Cladoceramorpha,confirmed
1011,RCNHSha_20250512_021047_IMG8,1916,2080,168,148,0,2,Detritus / Unsharp Organisms,relabelled
459,RCNHSha_20250511_021031_IMG7,2117,2588,192,171,0,0,Cladoceramorpha,confirmed
1381,RCNHSha_20250513_013947_IMG4,2809,917,225,202,0,0,Cladoceramorpha,confirmed
805,RCNHSha_20250512_011034_IMG7,973,1000,103,163,0,0,Cladoceramorpha,confirmed
5305,RCNHSha_20250516_011015_IMG6,1601,590,219,225,0,0,Cladoceramorpha,confirmed
5691,RCNHSha_20250516_033932_IMG3,2692,759,116,172,0,50,Copepoda,relabelled
1417,RCNHSha_20250513_014047_IMG8,2891,542,155,165,0,0,Cladoceramorpha,confirmed
