object_id,original_detection_id,parent_class,frame,x,y,w,h,area,solidity,eccentricity,focus_score,quality_score,cluster
0,5,Cladoceramorpha,RCNHSha_20250509_233918_IMG2,2381,2341,52,57,1468,0.7914,0.7535,41.91,0.338,2
1,15,Cladoceramorpha,RCNHSha_20250509_233933_IMG3,2675,749,165,158,7532,0.6147,0.901,32.4777,0.4169,7
2,24,Cladoceramorpha,RCNHSha_20250509_233933_IMG3,2527,1290,189,94,5037,0.3647,0.9135,21.8473,0.3313,3
3,45,Cladoceramorpha,RCNHSha_20250509_233933_IMG3,1616,2344,58,66,2636,0.7911,0.6208,68.4148,0.4112,2
4,51,Cladoceramorpha,RCNHSha_20250509_234048_IMG8,1270,633,50,53,1463,0.7947,0.6629,41.4165,0.3383,2
5,54,Cladoceramorpha,RCNHSha_20250509_234048_IMG8,1434,804,67,67,2114,0.7193,0.5567,42.1923,0.3425,2
6,88,Cladoceramorpha,RCNHSha_20250510_000917_IMG2,1396,2008,51,63,1655,0.7581,0.7657,31.8767,0.3255,2
7,96,Cladoceramorpha,RCNHSha_20250510_003901_IMG1,2428,1878,52,61,1674,0.7534,0.3124,41.5789,0.3346,2
8,132,Cladoceramorpha,RCNHSha_20250510_013946_IMG4,2040,2125,81,109,2583,0.4705,0.8475,24.104,0.2686,9
9,139,Cladoceramorpha,RCNHSha_20250510_020901_IMG1,2921,744,172,114,7894,0.5718,0.8415,21.6124,0.3931,7
10,172,Cladoceramorpha,RCNHSha_20250510_020931_IMG3,2832,1524,54,53,1738,0.8991,0.6811,31.9341,0.3712,1
11,176,Cladoceramorpha,RCNHSha_20250510_020931_IMG3,2239,1831,199,211,8647,0.3875,0.6118,27.3058,0.3435,4
12,188,Cladoceramorpha,RCNHSha_20250510_020947_IMG4,2304,194,48,51,1338,0.8178,0.7936,16.0701,0.3149,2
13,190,Cladoceramorpha,RCNHSha_20250510_020947_IMG4,2651,508,102,65,2396,0.7176,0.8913,39.3282,0.3504,3
14,205,Cladoceramorpha,RCNHSha_20250510_020947_IMG4,1322,1371,38,48,1216,0.9597,0.6031,44.8661,0.3814,2
15,211,Cladoceramorpha,RCNHSha_20250510_020947_IMG4,1344,1631,60,59,2163,0.842,0.6102,51.8767,0.391,1
16,219,Cladoceramorpha,RCNHSha_20250510_020947_IMG4,1245,2082,71,67,2531,0.787,0.6438,51.7329,0.3891,0
17,239,Cladoceramorpha,RCNHSha_20250510_021001_IMG5,1369,1497,54,38,1420,0.805,0.7695,31.9153,0.3302,3
18,259,Cladoceramorpha,RCNHSha_20250510_024016_IMG6,2253,2243,65,74,2617,0.7597,0.4177,47.4098,0.38,2
19,278,Cladoceramorpha,RCNHSha_20250511_003931_IMG3,1232,462,137,137,6547,0.7206,0.8959,21.6599,0.4378,7
20,295,Cladoceramorpha,RCNHSha_20250511_010937_IMG3,2245,331,196,262,9108,0.3414,0.7917,26.5527,0.329,13
21,303,Cladoceramorpha,RCNHSha_20250511_010937_IMG3,2103,1066,106,206,6765,0.4931,0.9081,23.9012,0.3718,5
22,323,Cladoceramorpha,RCNHSha_20250511_020901_IMG1,2504,448,87,131,3131,0.4529,0.8863,28.2448,0.2894,8
23,325,Cladoceramorpha,RCNHSha_20250511_020901_IMG1,2842,692,177,183,8905,0.4348,0.8256,22.262,0.3527,14
24,327,Cladoceramorpha,RCNHSha_20250511_020901_IMG1,2404,908,219,190,10516,0.4517,0.8384,16.1266,0.3516,7
25,331,Cladoceramorpha,RCNHSha_20250511_020901_IMG1,1840,1549,50,53,1742,0.8182,0.5896,52.1082,0.3673,2
26,333,Cladoceramorpha,RCNHSha_20250511_020901_IMG1,3301,1646,41,50,1307,0.8443,0.7784,30.9509,0.3365,2
27,334,Cladoceramorpha,RCNHSha_20250511_020901_IMG1,2853,1683,48,63,1811,0.8277,0.7199,45.1088,0.3659,1
28,337,Cladoceramorpha,RCNHSha_20250511_020901_IMG1,2348,2130,135,147,6699,0.5663,0.8595,16.5924,0.3865,10
29,339,Cladoceramorpha,RCNHSha_20250511_020901_IMG1,2518,2333,183,245,9400,0.3965,0.8039,11.9298,0.3309,12
30,340,Cladoceramorpha,RCNHSha_20250511_020901_IMG1,2084,2532,136,203,8125,0.4731,0.875,27.5004,0.3694,5
31,345,Cladoceramorpha,RCNHSha_20250511_020931_IMG3,1073,711,234,121,8197,0.5066,0.8908,20.3499,0.3723,3
