detection_id,cluster,mosaic_file,mosaic_row,mosaic_col,mosaic_x,mosaic_y,thumb_size,frame,bbox_x,bbox_y,bbox_w,bbox_h,quality_score,solidity,eccentricity
57,0,cluster_00_mosaic.png,0,0,0,40,90,RCNHSha_20250515_011017_IMG6,2763,756,132,153,0.4052,0.5868,0.9107
27,0,cluster_00_mosaic.png,0,1,90,40,90,RCNHSha_20250513_003931_IMG3,2540,669,117,153,0.3867,0.5501,0.8942
53,0,cluster_00_mosaic.png,0,2,180,40,90,RCNHSha_20250515_001032_IMG7,2349,1346,140,155,0.381,0.5261,0.7567
60,0,cluster_00_mosaic.png,0,3,270,40,90,RCNHSha_20250516_000901_IMG1,2052,270,127,191,0.3803,0.5219,0.9053
48,0,cluster_00_mosaic.png,0,4,360,40,90,RCNHSha_20250515_001032_IMG7,1770,617,156,177,0.3778,0.4933,0.9026
38,0,cluster_00_mosaic.png,0,5,450,40,90,RCNHSha_20250513_234016_IMG6,1638,591,154,158,0.3723,0.4834,0.9144
35,0,cluster_00_mosaic.png,0,6,540,40,90,RCNHSha_20250513_031016_IMG6,2424,2386,167,176,0.3702,0.5001,0.8754
51,0,cluster_00_mosaic.png,0,7,630,40,90,RCNHSha_20250515_001032_IMG7,2755,1022,114,119,0.3699,0.5239,0.8308
22,0,cluster_00_mosaic.png,0,8,720,40,90,RCNHSha_20250513_003900_IMG1,2801,1323,105,162,0.3655,0.4938,0.8863
58,0,cluster_00_mosaic.png,0,9,810,40,90,RCNHSha_20250515_040948_IMG4,2117,2165,172,174,0.3651,0.4601,0.9093
65,0,cluster_00_mosaic.png,0,10,900,40,90,RCNHSha_20250516_033932_IMG3,2692,759,116,172,0.3633,0.4941,0.9051
50,0,cluster_00_mosaic.png,0,11,990,40,90,RCNHSha_20250515_001032_IMG7,1560,649,139,128,0.3609,0.5219,0.9108
16,0,cluster_00_mosaic.png,0,12,1080,40,90,RCNHSha_20250512_011034_IMG7,1195,1346,186,208,0.3528,0.4082,0.943
12,0,cluster_00_mosaic.png,0,13,1170,40,90,RCNHSha_20250512_011034_IMG7,2774,647,111,240,0.3457,0.4187,0.9371
42,0,cluster_00_mosaic.png,0,14,1260,40,90,RCNHSha_20250513_234016_IMG6,2287,2325,130,165,0.3455,0.4015,0.8464
36,0,cluster_00_mosaic.png,1,0,0,130,90,RCNHSha_20250513_031016_IMG6,1851,2473,139,139,0.3425,0.4097,0.7707
34,0,cluster_00_mosaic.png,1,1,90,130,90,RCNHSha_20250513_030931_IMG3,1633,1027,159,180,0.3408,0.3772,0.8385
33,0,cluster_00_mosaic.png,1,2,180,130,90,RCNHSha_20250513_030916_IMG2,1729,2507,128,179,0.3406,0.412,0.8492
62,0,cluster_00_mosaic.png,1,3,270,130,90,RCNHSha_20250516_001002_IMG5,1745,2179,182,176,0.3387,0.349,0.6176
40,0,cluster_00_mosaic.png,1,4,360,130,90,RCNHSha_20250513_234016_IMG6,2234,1783,150,155,0.3374,0.4046,0.8781
37,0,cluster_00_mosaic.png,1,5,450,130,90,RCNHSha_20250513_234016_IMG6,1965,324,272,293,0.3312,0.3872,0.5391
49,0,cluster_00_mosaic.png,1,6,540,130,90,RCNHSha_20250515_001032_IMG7,3012,641,103,156,0.3256,0.4514,0.8877
46,0,cluster_00_mosaic.png,1,7,630,130,90,RCNHSha_20250515_000932_IMG3,2443,816,89,148,0.324,0.4201,0.9262
17,0,cluster_00_mosaic.png,1,8,720,130,90,RCNHSha_20250512_011034_IMG7,1252,2089,193,196,0.317,0.3236,0.8873
14,0,cluster_00_mosaic.png,1,9,810,130,90,RCNHSha_20250512_011034_IMG7,2803,1081,249,252,0.3142,0.3084,0.802
2,0,cluster_00_mosaic.png,1,10,900,130,90,RCNHSha_20250510_004101_IMG9,2324,374,66,138,0.3136,0.608,0.972
10,0,cluster_00_mosaic.png,1,11,990,130,90,RCNHSha_20250511_233901_IMG1,808,1299,171,333,0.3064,0.2805,0.8623
28,0,cluster_00_mosaic.png,1,12,1080,130,90,RCNHSha_20250513_003931_IMG3,1803,1317,202,209,0.3022,0.2812,0.532
24,0,cluster_00_mosaic.png,1,13,1170,130,90,RCNHSha_20250513_003900_IMG1,1049,1765,216,222,0.2994,0.2525,0.6453
45,0,cluster_00_mosaic.png,1,14,1260,130,90,RCNHSha_20250514_044002_IMG5,1902,2118,60,97,0.2539,0.5337,0.7573
9,1,cluster_01_mosaic.png,0,0,0,40,90,RCNHSha_20250511_044016_IMG6,1458,1460,137,92,0.4566,0.7759,0.9194
8,1,cluster_01_mosaic.png,0,1,90,40,90,RCNHSha_20250511_021031_IMG7,1390,574,171,140,0.4027,0.5994,0.9637
21,1,cluster_01_mosaic.png,0,2,180,40,90,RCNHSha_20250513_003900_IMG1,1275,1143,143,126,0.3969,0.6304,0.9671
55,1,cluster_01_mosaic.png,0,3,270,40,90,RCNHSha_20250515_001032_IMG7,1715,2053,182,138,0.3929,0.5697,0.9643
41,1,cluster_01_mosaic.png,0,4,360,40,90,RCNHSha_20250513_234016_IMG6,1668,1967,179,77,0.3907,0.5954,0.961
61,1,cluster_01_mosaic.png,0,5,450,40,90,RCNHSha_20250516_000901_IMG1,2738,1311,203,146,0.3839,0.5391,0.7896
52,1,cluster_01_mosaic.png,0,6,540,40,90,RCNHSha_20250515_001032_IMG7,788,1231,192,123,0.3776,0.5113,0.8681
3,1,cluster_01_mosaic.png,0,7,630,40,90,RCNHSha_20250510_020901_IMG1,1275,1573,231,118,0.3725,0.5358,0.9263
64,1,cluster_01_mosaic.png,0,8,720,40,90,RCNHSha_20250516_003930_IMG3,2950,1754,247,110,0.3709,0.4877,0.9488
26,1,cluster_01_mosaic.png,0,9,810,40,90,RCNHSha_20250513_003900_IMG1,1603,2092,176,127,0.3666,0.444,0.7302
