object_id,original_detection_id,parent_class,frame,x,y,w,h,area,solidity,eccentricity,focus_score,quality_score,cluster
0,0,Detritus / Unsharp Organisms,RCNHSha_20250509_233918_IMG2,1085,703,37,54,1536,0.861,0.6982,13.1531,0.3329,2
1,1,Detritus / Unsharp Organisms,RCNHSha_20250509_233918_IMG2,1943,797,55,62,1794,0.8038,0.5842,22.1791,0.3351,7
2,2,Detritus / Unsharp Organisms,RCNHSha_20250509_233918_IMG2,2949,922,126,104,5217,0.6432,0.6279,10.5524,0.4035,5
3,3,Detritus / Unsharp Organisms,RCNHSha_20250509_233918_IMG2,2956,1636,197,138,6735,0.4826,0.9035,11.4023,0.3562,14
4,4,Detritus / Unsharp Organisms,RCNHSha_20250509_233918_IMG2,3100,1894,40,48,1281,0.9661,0.7333,14.6469,0.3557,10
5,6,Detritus / Unsharp Organisms,RCNHSha_20250509_233918_IMG2,1749,2467,128,84,5124,0.7971,0.9384,15.8909,0.455,5
6,7,Detritus / Unsharp Organisms,RCNHSha_20250509_233918_IMG2,2092,2863,40,66,1604,0.915,0.8817,8.6933,0.3474,2
7,8,Detritus / Unsharp Organisms,RCNHSha_20250509_233933_IMG3,2197,181,53,39,1438,0.9485,0.7412,11.3878,0.3535,17
8,9,Detritus / Unsharp Organisms,RCNHSha_20250509_233933_IMG3,2313,210,43,52,1339,0.9403,0.7905,11.5005,0.3472,11
9,10,Detritus / Unsharp Organisms,RCNHSha_20250509_233933_IMG3,2699,404,82,39,1752,0.7825,0.9195,16.3215,0.3211,22
10,11,Detritus / Unsharp Organisms,RCNHSha_20250509_233933_IMG3,1849,430,43,57,1674,0.9549,0.743,9.5119,0.363,23
11,12,Detritus / Unsharp Organisms,RCNHSha_20250509_233933_IMG3,2206,445,45,47,1366,0.8064,0.7168,33.1202,0.3297,9
12,13,Detritus / Unsharp Organisms,RCNHSha_20250509_233933_IMG3,2317,507,161,144,6044,0.5763,0.9711,9.9254,0.3828,14
13,14,Detritus / Unsharp Organisms,RCNHSha_20250509_233933_IMG3,2873,508,54,57,2047,0.848,0.5965,12.5621,0.3488,11
14,16,Detritus / Unsharp Organisms,RCNHSha_20250509_233933_IMG3,1282,828,64,60,2886,0.974,0.4304,10.1073,0.4178,15
15,18,Detritus / Unsharp Organisms,RCNHSha_20250509_233933_IMG3,761,862,90,150,3246,0.3809,0.9303,11.0652,0.2552,3
16,19,Detritus / Unsharp Organisms,RCNHSha_20250509_233933_IMG3,2265,963,50,45,1508,0.9502,0.7574,20.1855,0.3656,15
17,20,Detritus / Unsharp Organisms,RCNHSha_20250509_233933_IMG3,2489,977,57,46,1467,0.8589,0.7744,23.1043,0.3395,18
18,21,Detritus / Unsharp Organisms,RCNHSha_20250509_233933_IMG3,2552,999,29,83,1561,0.8277,0.9457,28.9542,0.3397,10
19,22,Detritus / Unsharp Organisms,RCNHSha_20250509_233933_IMG3,2697,1251,84,104,3097,0.6882,0.9257,17.1115,0.3475,4
20,23,Detritus / Unsharp Organisms,RCNHSha_20250509_233933_IMG3,3284,1271,48,43,1236,0.8785,0.7141,30.7919,0.3438,16
21,25,Detritus / Unsharp Organisms,RCNHSha_20250509_233933_IMG3,1772,1308,57,56,2116,0.8484,0.4817,15.8721,0.355,13
22,26,Detritus / Unsharp Organisms,RCNHSha_20250509_233933_IMG3,1341,1346,133,45,2726,0.7464,0.9535,22.7211,0.3557,14
23,27,Detritus / Unsharp Organisms,RCNHSha_20250509_233933_IMG3,1354,1432,42,51,1428,0.9662,0.7864,11.6578,0.3586,10
24,28,Detritus / Unsharp Organisms,RCNHSha_20250509_233933_IMG3,1360,1481,202,164,8989,0.5115,0.9269,11.0308,0.3645,14
25,29,Detritus / Unsharp Organisms,RCNHSha_20250509_233933_IMG3,2646,1500,113,167,6961,0.666,0.9409,15.9023,0.4157,6
26,31,Detritus / Unsharp Organisms,RCNHSha_20250509_233933_IMG3,2010,1524,48,56,1400,0.791,0.6382,32.6789,0.326,9
27,32,Detritus / Unsharp Organisms,RCNHSha_20250509_233933_IMG3,2370,1567,57,82,2272,0.7381,0.7113,24.6041,0.3369,4
28,33,Detritus / Unsharp Organisms,RCNHSha_20250509_233933_IMG3,2094,1581,59,56,2422,0.881,0.559,13.9052,0.3751,15
29,34,Detritus / Unsharp Organisms,RCNHSha_20250509_233933_IMG3,2140,1799,41,59,1818,0.9727,0.7327,12.8588,0.3774,23
30,35,Detritus / Unsharp Organisms,RCNHSha_20250509_233933_IMG3,2435,1861,57,53,1887,0.9603,0.7038,12.5229,0.3761,15
31,36,Detritus / Unsharp Organisms,RCNHSha_20250509_233933_IMG3,3088,1887,63,39,1631,0.9521,0.8323,12.0186,0.3629,22
32,37,Detritus / Unsharp Organisms,RCNHSha_20250509_233933_IMG3,861,1930,42,55,1578,0.9359,0.7452,11.9714,0.3559,0
33,38,Detritus / Unsharp Organisms,RCNHSha_20250509_233933_IMG3,2109,1937,54,57,1458,0.7294,0.6258,29.6677,0.3068,9
34,39,Detritus / Unsharp Organisms,RCNHSha_20250509_233933_IMG3,2212,1986,68,56,2295,0.8628,0.5052,16.329,0.367,16
35,40,Detritus / Unsharp Organisms,RCNHSha_20250509_233933_IMG3,3172,2032,42,50,1240,0.8005,0.6341,24.0889,0.3138,10
36,41,Detritus / Unsharp Organisms,RCNHSha_20250509_233933_IMG3,2606,2037,46,49,1361,0.9425,0.8382,47.4608,0.3847,10
37,42,Detritus / Unsharp Organisms,RCNHSha_20250509_233933_IMG3,2744,2076,70,47,1867,0.8006,0.7213,54.3098,0.3692,14
38,43,Detritus / Unsharp Organisms,RCNHSha_20250509_233933_IMG3,1973,2304,59,47,1432,0.8355,0.8345,48.3941,0.3563,14
39,44,Detritus / Unsharp Organisms,RCNHSha_20250509_233933_IMG3,2130,2316,63,53,1825,0.7938,0.5447,53.6638,0.3648,16
40,46,Detritus / Unsharp Organisms,RCNHSha_20250509_233933_IMG3,2075,2474,86,62,3722,0.9731,0.8257,12.7903,0.4536,16
41,47,Detritus / Unsharp Organisms,RCNHSha_20250509_233933_IMG3,2486,2479,69,68,2231,0.7199,0.8508,39.3343,0.3445,16
42,48,Detritus / Unsharp Organisms,RCNHSha_20250509_233933_IMG3,2139,2543,139,107,5260,0.4802,0.858,19.6027,0.3637,32
43,49,Detritus / Unsharp Organisms,RCNHSha_20250509_233933_IMG3,2000,2602,64,60,1790,0.6595,0.5777,19.4445,0.2889,16
44,50,Detritus / Unsharp Organisms,RCNHSha_20250509_234048_IMG8,1082,554,50,48,1230,0.7819,0.6219,12.11,0.2959,15
45,52,Detritus / Unsharp Organisms,RCNHSha_20250509_234048_IMG8,2787,699,39,53,1369,0.9467,0.7824,17.5762,0.3564,10
46,53,Detritus / Unsharp Organisms,RCNHSha_20250509_234048_IMG8,2054,713,45,45,1300,0.9413,0.6245,17.3328,0.3517,13
47,55,Detritus / Unsharp Organisms,RCNHSha_20250509_234048_IMG8,2559,820,62,58,2746,0.9541,0.3914,21.6331,0.4177,16
48,56,Detritus / Unsharp Organisms,RCNHSha_20250509_234048_IMG8,2503,964,42,60,1433,0.8775,0.7619,13.9054,0.3345,1
49,57,Detritus / Unsharp Organisms,RCNHSha_20250509_234048_IMG8,1364,1132,59,64,2255,0.8206,0.7092,16.1962,0.3526,10
50,58,Detritus / Unsharp Organisms,RCNHSha_20250509_234048_IMG8,2059,1165,63,65,2672,0.9452,0.6408,22.8374,0.4133,24
51,59,Detritus / Unsharp Organisms,RCNHSha_20250509_234048_IMG8,972,1170,98,84,2339,0.5104,0.7312,15.6851,0.2624,14
52,60,Detritus / Unsharp Organisms,RCNHSha_20250509_234048_IMG8,1336,1269,51,44,1519,0.9313,0.6003,20.0506,0.3602,16
53,61,Detritus / Unsharp Organisms,RCNHSha_20250509_234048_IMG8,1165,1370,89,56,3051,0.9405,0.8195,11.3509,0.4155,31
54,62,Detritus / Unsharp Organisms,RCNHSha_20250509_234048_IMG8,1155,1465,43,40,1332,0.9666,0.4778,16.4307,0.3597,15
55,63,Detritus / Unsharp Organisms,RCNHSha_20250509_234048_IMG8,3187,1551,52,68,2197,0.9189,0.7319,16.2261,0.3798,23
56,64,Detritus / Unsharp Organisms,RCNHSha_20250509_234048_IMG8,3138,1864,35,56,1563,0.9571,0.7894,15.365,0.365,1
57,65,Detritus / Unsharp Organisms,RCNHSha_20250509_234048_IMG8,2272,1963,57,53,2115,0.9116,0.619,21.4454,0.3795,16
58,66,Detritus / Unsharp Organisms,RCNHSha_20250509_234048_IMG8,2223,2031,57,96,4149,0.9395,0.8164,19.2552,0.4671,10
59,67,Detritus / Unsharp Organisms,RCNHSha_20250509_234048_IMG8,2709,2050,55,48,1726,0.922,0.7249,16.9739,0.3626,15
60,68,Detritus / Unsharp Organisms,RCNHSha_20250509_234048_IMG8,2694,2107,74,52,1228,0.4944,0.8962,11.473,0.2089,20
61,69,Detritus / Unsharp Organisms,RCNHSha_20250509_234048_IMG8,1101,2205,37,55,1358,0.9693,0.8421,20.7119,0.3658,10
62,70,Detritus / Unsharp Organisms,RCNHSha_20250509_234048_IMG8,2367,2290,42,45,1330,0.9736,0.6356,14.1093,0.3594,10
63,71,Detritus / Unsharp Organisms,RCNHSha_20250509_234048_IMG8,2786,2297,98,59,2583,0.679,0.7594,18.5934,0.3256,31
64,72,Detritus / Unsharp Organisms,RCNHSha_20250509_234048_IMG8,2582,2524,58,56,2130,0.8666,0.7509,15.2566,0.3604,18
65,73,Detritus / Unsharp Organisms,RCNHSha_20250509_234048_IMG8,1235,2543,55,69,2117,0.8139,0.8524,11.2736,0.3401,0
66,74,Detritus / Unsharp Organisms,RCNHSha_20250509_234048_IMG8,2028,2632,46,97,2204,0.7461,0.9322,18.6472,0.3306,9
67,75,Detritus / Unsharp Organisms,RCNHSha_20250509_234048_IMG8,1559,2705,54,73,2517,0.7536,0.8003,11.12,0.3379,2
68,76,Detritus / Unsharp Organisms,RCNHSha_20250510_000902_IMG1,2030,296,204,44,2651,0.3853,0.9895,21.7319,0.2434,8
69,77,Detritus / Unsharp Organisms,RCNHSha_20250510_000902_IMG1,2896,709,39,67,1448,0.7358,0.9088,23.8644,0.3025,4
70,78,Detritus / Unsharp Organisms,RCNHSha_20250510_000902_IMG1,2513,953,37,69,1806,0.9044,0.8808,27.8867,0.3714,2
71,79,Detritus / Unsharp Organisms,RCNHSha_20250510_000902_IMG1,2922,1017,52,43,1630,0.9261,0.6725,20.6936,0.3637,16
72,80,Detritus / Unsharp Organisms,RCNHSha_20250510_000902_IMG1,931,1769,60,91,3150,0.9091,0.8398,15.9958,0.4147,1
73,81,Detritus / Unsharp Organisms,RCNHSha_20250510_000902_IMG1,2173,1894,40,52,1491,0.8933,0.7281,15.5318,0.3432,10
74,82,Detritus / Unsharp Organisms,RCNHSha_20250510_000917_IMG2,1723,211,38,47,1225,0.9373,0.707,21.6824,0.3519,10
75,83,Detritus / Unsharp Organisms,RCNHSha_20250510_000917_IMG2,2006,845,93,103,3574,0.5893,0.8139,13.8863,0.3336,12
76,84,Detritus / Unsharp Organisms,RCNHSha_20250510_000917_IMG2,2782,967,35,49,1359,0.9721,0.6737,17.5119,0.3635,10
77,85,Detritus / Unsharp Organisms,RCNHSha_20250510_000917_IMG2,3218,1312,41,71,1842,0.9192,0.8753,11.4583,0.3609,2
78,86,Detritus / Unsharp Organisms,RCNHSha_20250510_000917_IMG2,1689,1687,57,48,1255,0.7484,0.9117,39.2447,0.314,5
