detection_id,cluster,mosaic_file,mosaic_row,mosaic_col,mosaic_x,mosaic_y,thumb_size,frame,bbox_x,bbox_y,bbox_w,bbox_h,quality_score,solidity,eccentricity
117,0,cluster_00_mosaic.png,0,0,0,40,90,RCNHSha_20250510_013946_IMG4,827,1488,109,130,0.8613,0.6597,0.9565
2674,0,cluster_00_mosaic.png,0,1,90,40,90,RCNHSha_20250515_001047_IMG8,998,691,79,99,0.4399,0.8665,0.8977
1520,0,cluster_00_mosaic.png,0,2,180,40,90,RCNHSha_20250513_031016_IMG6,3175,1304,58,72,0.394,0.8854,0.7353
3103,0,cluster_00_mosaic.png,0,3,270,40,90,RCNHSha_20250515_011032_IMG7,2712,400,104,132,0.3895,0.5942,0.8265
6206,0,cluster_00_mosaic.png,0,4,360,40,90,RCNHSha_20250921_222139_IMG11,656,1884,78,82,0.3879,0.7889,0.6519
1396,0,cluster_00_mosaic.png,0,5,450,40,90,RCNHSha_20250513_030916_IMG2,2514,2547,51,62,0.379,0.8936,0.5987
1932,0,cluster_00_mosaic.png,0,6,540,40,90,RCNHSha_20250514_013931_IMG3,1857,826,61,79,0.3756,0.8434,0.7509
4309,0,cluster_00_mosaic.png,0,7,630,40,90,RCNHSha_20250516_000947_IMG4,1823,2611,41,54,0.375,0.9637,0.8647
1346,0,cluster_00_mosaic.png,0,8,720,40,90,RCNHSha_20250513_030916_IMG2,2846,1377,55,69,0.3717,0.8723,0.723
324,0,cluster_00_mosaic.png,0,9,810,40,90,RCNHSha_20250511_020946_IMG4,821,1673,51,65,0.3709,0.9117,0.8318
4179,0,cluster_00_mosaic.png,0,10,900,40,90,RCNHSha_20250516_000901_IMG1,2588,2283,43,57,0.3693,0.9554,0.7253
5896,0,cluster_00_mosaic.png,0,11,990,40,90,RCNHSha_20250520_031016_IMG6,1835,327,49,65,0.3665,0.9033,0.7104
95,0,cluster_00_mosaic.png,0,12,1080,40,90,RCNHSha_20250510_004101_IMG9,2129,1578,36,49,0.3647,0.9504,0.7476
1445,0,cluster_00_mosaic.png,0,13,1170,40,90,RCNHSha_20250513_030931_IMG3,2662,1273,41,52,0.3635,0.9444,0.6017
4379,0,cluster_00_mosaic.png,0,14,1260,40,90,RCNHSha_20250516_001002_IMG5,936,1429,41,54,0.3625,0.9486,0.6729
5420,0,cluster_00_mosaic.png,1,0,0,130,90,RCNHSha_20250516_041049_IMG8,1001,1243,34,49,0.3611,0.9719,0.7985
4204,0,cluster_00_mosaic.png,1,1,90,130,90,RCNHSha_20250516_000901_IMG1,1609,2694,50,62,0.3605,0.8885,0.7685
3883,0,cluster_00_mosaic.png,1,2,180,130,90,RCNHSha_20250515_054003_IMG5,1757,2120,47,64,0.3594,0.9192,0.8118
8984,0,cluster_00_mosaic.png,1,3,270,130,90,RCNHSha_20250922_202125_IMG5,654,1972,116,127,0.3592,0.6057,0.9536
6833,0,cluster_00_mosaic.png,1,4,360,130,90,RCNHSha_20250921_232102_IMG7,3390,1632,43,56,0.3582,0.9425,0.7761
1366,0,cluster_00_mosaic.png,1,5,450,130,90,RCNHSha_20250513_030916_IMG2,917,1943,47,58,0.3565,0.897,0.7213
32,0,cluster_00_mosaic.png,1,6,540,130,90,RCNHSha_20250509_233933_IMG3,861,1930,42,55,0.3559,0.9359,0.7452
8591,0,cluster_00_mosaic.png,1,7,630,130,90,RCNHSha_20250922_072118_IMG7,1715,2311,40,45,0.3547,0.9443,0.7302
393,0,cluster_00_mosaic.png,1,8,720,130,90,RCNHSha_20250511_023947_IMG4,2300,1386,47,61,0.3543,0.8745,0.6641
284,0,cluster_00_mosaic.png,1,9,810,130,90,RCNHSha_20250511_010937_IMG3,1401,2517,40,52,0.3533,0.928,0.6539
2239,0,cluster_00_mosaic.png,1,10,900,130,90,RCNHSha_20250514_051016_IMG6,3001,1805,43,50,0.3523,0.9088,0.73
1745,0,cluster_00_mosaic.png,1,11,990,130,90,RCNHSha_20250513_043901_IMG1,1378,2285,39,53,0.3508,0.9129,0.7787
8864,0,cluster_00_mosaic.png,1,12,1080,130,90,RCNHSha_20250922_202115_IMG4,1219,305,43,57,0.3491,0.9127,0.7825
8935,0,cluster_00_mosaic.png,1,13,1170,130,90,RCNHSha_20250922_202125_IMG5,1220,305,41,56,0.3484,0.9122,0.7797
3102,0,cluster_00_mosaic.png,1,14,1260,130,90,RCNHSha_20250515_011032_IMG7,1838,291,45,61,0.3477,0.8856,0.788
134,0,cluster_00_mosaic.png,2,0,0,220,90,RCNHSha_20250510_020901_IMG1,1091,1607,37,50,0.3475,0.9358,0.7439
2796,0,cluster_00_mosaic.png,2,1,90,220,90,RCNHSha_20250515_003932_IMG3,1537,403,54,68,0.3473,0.8214,0.6329
2133,0,cluster_00_mosaic.png,2,2,180,220,90,RCNHSha_20250514_030916_IMG2,1335,2347,55,67,0.3464,0.8082,0.5967
6462,0,cluster_00_mosaic.png,2,3,270,220,90,RCNHSha_20250921_225051_IMG6,1624,2936,39,50,0.3446,0.9304,0.7203
3895,0,cluster_00_mosaic.png,2,4,360,220,90,RCNHSha_20250515_054003_IMG5,1985,2746,58,73,0.3443,0.7946,0.8693
1526,0,cluster_00_mosaic.png,2,5,450,220,90,RCNHSha_20250513_031016_IMG6,2818,1458,36,49,0.3438,0.9094,0.7135
3737,0,cluster_00_mosaic.png,2,6,540,220,90,RCNHSha_20250515_040948_IMG4,2322,2752,42,55,0.3423,0.9088,0.7706
3044,0,cluster_00_mosaic.png,2,7,630,220,90,RCNHSha_20250515_011017_IMG6,1536,405,56,68,0.3422,0.8195,0.7041
3299,0,cluster_00_mosaic.png,2,8,720,220,90,RCNHSha_20250515_014047_IMG8,1020,2452,56,71,0.3417,0.8468,0.8562
2828,0,cluster_00_mosaic.png,2,9,810,220,90,RCNHSha_20250515_003932_IMG3,1742,2121,48,66,0.3412,0.8609,0.8479
5962,0,cluster_00_mosaic.png,2,10,900,220,90,RCNHSha_20250520_031046_IMG8,1782,436,36,52,0.3412,0.9214,0.7961
