object_id,original_detection_id,parent_class,frame,x,y,w,h,area,solidity,eccentricity,focus_score,quality_score,cluster
0,142,Unidentified_Organism,RCNHSha_20250510_020901_IMG1,2893,1090,62,39,1442,0.8074,0.8865,65.1501,0.365,0
1,216,Unidentified_Organism,RCNHSha_20250510_020947_IMG4,1901,1784,133,104,3405,0.4275,0.7351,22.7529,0.2872,0
2,1580,Unidentified_Organism,RCNHSha_20250513_030916_IMG2,1125,1466,116,113,4272,0.6849,0.9335,37.213,0.4136,0
3,2151,Unidentified_Organism,RCNHSha_20250513_234016_IMG6,1196,1729,85,66,2799,0.823,0.3882,19.6623,0.3785,0
4,5009,Unidentified_Organism,RCNHSha_20250516_001016_IMG6,2547,2566,82,96,3806,0.6748,0.339,27.2412,0.3819,0
5,6568,Unidentified_Organism,RCNHSha_20250921_222029_IMG4,2734,553,92,117,6085,0.7318,0.757,38.1092,0.4577,0
6,6971,Unidentified_Organism,RCNHSha_20250921_225101_IMG7,2568,1059,116,67,3101,0.6507,0.8716,27.5213,0.3468,0
7,7054,Unidentified_Organism,RCNHSha_20250921_225111_IMG8,1687,1190,142,133,6746,0.6346,0.712,36.3798,0.4268,0
8,7062,Unidentified_Organism,RCNHSha_20250921_225111_IMG8,1170,1444,119,111,4270,0.5442,0.5274,44.1776,0.3782,0
9,7272,Unidentified_Organism,RCNHSha_20250921_232102_IMG7,1864,417,61,90,3693,0.954,0.7961,20.9369,0.4549,0
10,7597,Unidentified_Organism,RCNHSha_20250922_005045_IMG5,1946,1292,111,100,3854,0.5991,0.5999,41.7699,0.3757,0
11,7704,Unidentified_Organism,RCNHSha_20250922_005105_IMG7,1152,1603,92,197,7331,0.6762,0.9386,34.9035,0.4378,0
