detection_id,cluster,mosaic_file,mosaic_row,mosaic_col,mosaic_x,mosaic_y,thumb_size,frame,bbox_x,bbox_y,bbox_w,bbox_h,quality_score,solidity,eccentricity
5,0,cluster_00_mosaic.png,0,0,0,40,90,RCNHSha_20250921_222029_IMG4,2734,553,92,117,0.4577,0.7318,0.757
9,0,cluster_00_mosaic.png,0,1,90,40,90,RCNHSha_20250921_232102_IMG7,1864,417,61,90,0.4549,0.954,0.7961
11,0,cluster_00_mosaic.png,0,2,180,40,90,RCNHSha_20250922_005105_IMG7,1152,1603,92,197,0.4378,0.6762,0.9386
7,0,cluster_00_mosaic.png,0,3,270,40,90,RCNHSha_20250921_225111_IMG8,1687,1190,142,133,0.4268,0.6346,0.712
2,0,cluster_00_mosaic.png,0,4,360,40,90,RCNHSha_20250513_030916_IMG2,1125,1466,116,113,0.4136,0.6849,0.9335
4,0,cluster_00_mosaic.png,0,5,450,40,90,RCNHSha_20250516_001016_IMG6,2547,2566,82,96,0.3819,0.6748,0.339
3,0,cluster_00_mosaic.png,0,6,540,40,90,RCNHSha_20250513_234016_IMG6,1196,1729,85,66,0.3785,0.823,0.3882
8,0,cluster_00_mosaic.png,0,7,630,40,90,RCNHSha_20250921_225111_IMG8,1170,1444,119,111,0.3782,0.5442,0.5274
10,0,cluster_00_mosaic.png,0,8,720,40,90,RCNHSha_20250922_005045_IMG5,1946,1292,111,100,0.3757,0.5991,0.5999
0,0,cluster_00_mosaic.png,0,9,810,40,90,RCNHSha_20250510_020901_IMG1,2893,1090,62,39,0.365,0.8074,0.8865
6,0,cluster_00_mosaic.png,0,10,900,40,90,RCNHSha_20250921_225101_IMG7,2568,1059,116,67,0.3468,0.6507,0.8716
1,0,cluster_00_mosaic.png,0,11,990,40,90,RCNHSha_20250510_020947_IMG4,1901,1784,133,104,0.2872,0.4275,0.7351
